,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
4375,0.737,5.7,906.0,7.0,314.0,2.4,453.0,3.5,-169.0,-1.3
4376,1.064,6.2,1322.0,7.7,410.0,2.4,599.0,3.5,-258.0,-1.5
4377,0.992,5.0,1206.0,6.1,418.0,2.1,601.0,3.0,-214.0,-1.1
4378,0.609,5.1,608.0,5.1,231.0,1.9,402.0,3.4,1.0,0.0
4379,0.686,5.5,967.0,7.7,238.0,1.9,418.0,3.3,-281.0,-2.2
4380,0.613,5.2,616.0,5.2,198.0,1.7,391.0,3.3,-3.0,0.0
4381,6.459,6.0,5065.0,4.7,2406.0,2.2,4385.0,4.1,1394.0,1.3
4382,1.118,5.2,1863.0,8.6,548.0,2.5,664.0,3.1,-745.0,-3.4
4383,1.471,5.4,1811.0,6.6,640.0,2.3,877.0,3.2,-340.0,-1.2
4384,1.416,5.9,1252.0,5.2,623.0,2.6,870.0,3.6,164.0,0.7
4385,0.339,6.2,354.0,6.5,140.0,2.6,245.0,4.5,-15.0,-0.3
4386,0.739,5.0,1205.0,8.2,259.0,1.8,467.0,3.2,-466.0,-3.2
4387,0.793,5.2,1430.0,9.5,283.0,1.9,500.0,3.3,-637.0,-4.2
4388,0.316,11.2,107.0,3.8,45.0,1.6,148.0,5.3,209.0,7.4
4389,4.095,5.2,3662.0,4.7,1450.0,1.8,3199.0,4.1,433.0,0.6
4390,0.593,6.4,424.0,4.5,225.0,2.4,363.0,3.9,169.0,1.8
4391,23.299,5.5,24674.0,5.9,9257.0,2.2,15669.0,3.7,-1375.0,-0.3
4392,1.3,4.6,1826.0,6.4,601.0,2.1,1051.0,3.7,-526.0,-1.8
4393,0.724,5.4,923.0,6.9,278.0,2.1,577.0,4.3,-199.0,-1.5
4394,0.965,5.4,1210.0,6.8,414.0,2.3,712.0,4.0,-245.0,-1.4
4395,0.943,4.6,1095.0,5.4,340.0,1.7,690.0,3.4,-152.0,-0.7
4396,0.637,5.1,581.0,4.7,270.0,2.2,500.0,4.0,56.0,0.5
4397,0.645,5.0,999.0,7.7,278.0,2.2,512.0,4.0,-354.0,-2.7
4398,0.603,4.9,615.0,5.0,240.0,2.0,500.0,4.1,-12.0,-0.1
4399,6.583,5.9,5060.0,4.5,2299.0,2.1,4915.0,4.4,1523.0,1.4
4400,1.099,4.9,1855.0,8.3,483.0,2.2,657.0,2.9,-756.0,-3.4
4401,1.4,5.0,1834.0,6.5,623.0,2.2,1016.0,3.6,-434.0,-1.5
4402,1.357,5.5,1247.0,5.0,622.0,2.5,998.0,4.0,110.0,0.4
4403,0.311,5.5,290.0,5.1,128.0,2.3,283.0,5.0,21.0,0.4
4404,0.69,4.5,1169.0,7.7,326.0,2.1,543.0,3.6,-479.0,-3.1
4405,0.807,5.2,1427.0,9.1,318.0,2.0,528.0,3.4,-620.0,-4.0
4406,0.25,8.6,105.0,3.6,63.0,2.2,160.0,5.5,145.0,5.0
4407,3.984,4.9,3654.0,4.5,1300.0,1.6,3859.0,4.8,330.0,0.4
4408,0.549,5.7,456.0,4.7,232.0,2.4,407.0,4.2,93.0,1.0
4409,22.847,5.3,24346.0,5.6,8927.0,2.1,18144.0,4.2,-1499.0,-0.3
4410,1.242,4.5,1790.0,6.5,524.0,1.9,1044.0,3.8,-548.0,-2.0
4411,0.71,5.5,910.0,7.0,282.0,2.2,533.0,4.1,-200.0,-1.5
4412,0.977,5.7,1200.0,7.0,411.0,2.4,720.0,4.2,-223.0,-1.3
4413,0.946,4.8,1077.0,5.4,387.0,2.0,606.0,3.1,-131.0,-0.7
4414,0.604,5.0,582.0,4.9,243.0,2.0,462.0,3.9,22.0,0.2
4415,0.671,5.4,939.0,7.5,292.0,2.3,501.0,4.0,-268.0,-2.1
4416,0.583,4.9,604.0,5.1,243.0,2.0,470.0,4.0,-21.0,-0.2
4417,6.338,5.8,4965.0,4.6,2312.0,2.1,4612.0,4.3,1373.0,1.3
4418,1.015,4.7,1767.0,8.2,449.0,2.1,710.0,3.3,-752.0,-3.5
4419,1.387,5.1,1778.0,6.5,610.0,2.2,912.0,3.3,-391.0,-1.4
4420,1.29,5.4,1256.0,5.2,574.0,2.4,914.0,3.8,34.0,0.1
4421,0.321,5.9,277.0,5.1,148.0,2.7,222.0,4.1,44.0,0.8
4422,0.608,4.1,1159.0,7.9,316.0,2.1,465.0,3.2,-551.0,-3.7
4423,0.769,5.1,1319.0,8.7,340.0,2.3,545.0,3.6,-550.0,-3.6
4424,0.273,9.7,103.0,3.7,40.0,1.4,142.0,5.0,170.0,6.0
4425,3.886,5.0,3490.0,4.5,1254.0,1.6,3665.0,4.7,396.0,0.5
4426,0.497,5.3,422.0,4.5,194.0,2.1,369.0,4.0,75.0,0.8
4427,22.117,5.3,23638.0,5.6,8775.0,2.1,17184.0,4.1,-1521.0,-0.4
4428,1.271,4.5,1833.0,6.4,666.0,2.3,1094.0,3.8,-562.0,-2.0
4429,0.712,5.3,925.0,6.9,303.0,2.3,491.0,3.7,-213.0,-1.6
4430,1.041,5.8,1302.0,7.3,458.0,2.6,665.0,3.7,-261.0,-1.5
4431,1.005,4.9,1160.0,5.7,384.0,1.9,645.0,3.2,-155.0,-0.8
4432,0.562,4.5,614.0,5.0,335.0,2.7,468.0,3.8,-52.0,-0.4
4433,0.619,4.8,937.0,7.2,308.0,2.4,465.0,3.6,-318.0,-2.5
4434,0.607,5.0,604.0,4.9,224.0,1.8,404.0,3.3,3.0,0.0
4435,6.532,5.8,4905.0,4.4,2468.0,2.2,4725.0,4.2,1627.0,1.5
4436,1.051,4.7,1687.0,7.6,507.0,2.3,707.0,3.2,-636.0,-2.9
